"translation","source","can_modify"
"Soldado A","Soldier A","1"
"Soldado B","Soldier B","1"
"Soldado C","Soldier C","1"
"Soldado D","Soldier D","1"
"Soldado E","Soldier E","1"
"Soldado F","Soldier F","1"
"Soldado G","Soldier G","1"
"Soldado C","兵士C","1"
"Soldado D","兵士D","1"
"Soldado G","兵士G","1"
"Soldado F","兵士F","1"
"Zero","Zero","1"
"Dito","Dito","1"
"Cento","Cent","1"
"Mikhail","Mikhail","1"
"Oitavo","Octa","1"
"Decadus","Decadus","1"
"541","541","1"
" "," ","1"
"Cent","セント","1"
"Decart","デカート","1"
"Oitavo","オクタ","1"
"487","487","1"
"Acordo","Accord","1"
"Texto de explicação","説明文","1"
