"translation","source","can_modify"
"Item sem nome para uso genérico{#Name=""Sem nome""}","名前のないアイテムに汎用的に使用する{#Name=""名前無し""}","1"
"Restaura uma pequena quantidade de saúde.{#Name=""Poção de Recuperação (P)""}","Restores a small amount of health.{#Name=""Recovery Potion (S)""}","1"
"Restaura uma quantidade moderada de{LF}saúde.{#Name=""Poção de Recuperação (M)""}","Restores a moderate amount of{LF}health.{#Name=""Recovery Potion (M)""}","1"
"Restaura uma grande quantidade de saúde.{#Name=""Poção de Recuperação (G)""}","Restores a large amount of health.{#Name=""Recovery Potion (L)""}","1"
"Restaura 350 pontos de saúde.{#Name=""Pequena Garrafa de Vida""}","体力を350回復する{#Name=""生命の小瓶""}","1"
"Restaura completamente sua saúde.{#Name=""Poção de Recuperação (Máx)""}","Restores your health completely.{#Name=""Recovery Potion (Max)""}","1"
"Aumenta o medidor de tensão em 25%{#Name=""Fragmento Misterioso""}","テンションゲージを25%上昇させる{#Name=""神秘の欠片""}","1"
"Aumenta o medidor de tensão para o máximo{#Name=""Cristal Misterioso""}","テンションゲージをMAXにする{#Name=""神秘の結晶""}","1"
"Restaura completamente sua saúde e medidor de tensão{#Name=""Elixir de Longevidade""}","体力とテンションゲージをMAXにする{#Name=""霊長薬""}","1"
"Permite reviver uma vez no local se estiver morto{#Name=""Lâmina de Ressurreição""}","所持していると、その場で一度だけ復活できる{#Name=""再生の刃""}","1"
"Aumenta o poder de ataque por um tempo limitado.{#Name=""Poção de Força""}","Boosts attack power for a limited{LF}amount of time.{#Name=""Strength Potion""}","1"
"Aumenta a taxa de aumento do medidor de tensão em 1.3 vezes por 60 segundos{#Name=""Colônio de Exaltação""}","60秒間、テンションゲージの上昇率が1.3倍になる{#Name=""高揚のコロン""}","1"
"Reduz o dano recebido por um tempo limitado.{#Name=""Poção de Defesa""}","Reduces damage taken for a limited{LF}amount of time.{#Name=""Defense Potion""}","1"
"Reduz a taxa de redução de estamina em 70% por 60 segundos{#Name=""Colônio de Vitalidade""}","60秒間、スタミナの減少率が70%になる{#Name=""精力のコロン""}","1"
"Restaura a habilidade de Dit.{#Name=""Pílula de Tortura""}","ディトのアビリティを回復する。{#Name=""加虐の丸薬""}","1"
"Restaura a habilidade de Decart.{#Name=""Pílula de Sofrimento""}","デカートのアビリティを回復する。{#Name=""被虐の丸薬""}","1"
"Restaura a habilidade de Octa.{#Name=""Pílula de Supremacia""}","オクタのアビリティを回復する。{#Name=""絶倫の丸薬""}","1"
"Restaura a habilidade de Cent.{#Name=""Pílula de Ignorância""}","セントのアビリティを回復する。{#Name=""衆愚の丸薬""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
"Restaura 25% da saúde.{#Name=""Esfera de Cura (P)""}","体力を25%回復する{#Name=""Healsphere (S)""}","1"
"Restaura 50% da vida{#Name=""Healsphere (M)""}","体力を50%回復する{#Name=""Healsphere (M)""}","1"
"Restaura 100% da vida{#Name=""Healsphere (L)""}","体力を100%回復する{#Name=""Healsphere (L)""}","1"
"Restaura 25% do medidor de tensão{#Name=""Bloodsphere (S)""}","テンションゲージを25%回復する{#Name=""Bloodsphere (S)""}","1"
"Restaura o medidor de tensão ao máximo{#Name=""Bloodsphere (L)""}","テンションゲージをMAXにする{#Name=""Bloodsphere (L)""}","1"
"Esfera que concede experiência{#Name=""EXP Sphere""}","経験値を取得するスフィア{#Name=""EXP Sphere""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
"Um item misterioso necessário para{LF}atualizar armas.{#Name=""Material de Base de Cobre""}","A mysterious item needed for{LF}upgrading weapons.{#Name=""Copper Base Material""}","1"
"Um item misterioso necessário para{LF}atualizar armas.{#Name=""Material de Base de Prata""}","A mysterious item needed for{LF}upgrading weapons.{#Name=""Silver Base Material""}","1"
"Um item misterioso necessário para{LF}atualizar armas.{#Name=""Material de Base de Ouro""}","A mysterious item needed for{LF}upgrading weapons.{#Name=""Gold Base Material""}","1"
"Um item misterioso necessário para{LF}atualizar armas.{#Name=""Material de Base Branco""}","A mysterious item needed for{LF}upgrading weapons.{#Name=""White Base Material""}","1"
"Um item misterioso necessário para{LF}atualizar armas.{#Name=""Material de Base Preto""}","A mysterious item needed for{LF}upgrading weapons.{#Name=""Black Base Material""}","1"
" {#Name=""Reserva""}"," {#Name=""予備""}","1"
