"translation","source","can_modify"
"Mikhail","Mikhail","1"
" "," ","1"
"Soldado A","Soldier A","1"
"Soldado B","Soldier B","1"
"Soldado G","Soldier G","1"
"Soldado E","Soldier E","1"
"Soldado F","Soldier F","1"
"Soldado C","Soldier C","1"
"Soldado D","Soldier D","1"
"Soldado F","兵士Ｆ","1"
"Soldado A","兵士Ａ","1"
"Soldado E","兵士Ｅ","1"
"Zero","Zero","1"
"Um","One","1"
"145","145","1"
"? ? ?","? ? ?","1"
"? ? ?{0A}(Irmão de Um)","? ? ?{0A}(One's Brother)","1"
"Um{0A}(Irmão de Um)","One{0A}(One's Brother)","1"
"? ? ?{0A}(Acordo)","? ? ?{0A}(Accord)","1"
