"translation","source","can_modify"
"Acampar novamente?{#Name=""Dito""}","Camping again?{#Name=""Dito""}","1"
"Bem, qualquer coisa que me dê a oportunidade{LF}de te manter quente...{#Name=""Dito""}","Well, anything that gives me an opportunity{LF}to keep you warm...{#Name=""Dito""}","1"
"Cale-se, você? A única pessoa que você está esquentando{LF}com esse tipo de conversa é você mesmo.{#Name=""Zero""}","Cram it, would you? The only one you're heating up{LF}with that kind of talk is yourself.{#Name=""Zero""}","1"
"Além disso, aposto que todo esse frio está lhe dando uma séria redução.{#Name=""Zero""}","Besides, I bet all this cold is giving you serious shrinkage.{#Name=""Zero""}","1"
"Tch!{#Name=""Dito""}","Tch!{#Name=""Dito""}","1"
"Vamos voltar para baixo já.{LF}Cara como eu não foram feitos para o frio.{#Name=""Dito""}","Let's go back down already.{LF}Guys like me weren't built for the cold.{#Name=""Dito""}","1"
"Você tem certeza de que Quatro está aqui em cima, certo?{#Name=""Zero""}","You're sure Four is up here, right?{#Name=""Zero""}","1"
"Hum, provavelmente?{#Name=""Mikhail""}","Um, probably?{#Name=""Mikhail""}","1"
"Provavelmente não é o suficiente.{#Name=""Zero""}","Probably isn't good enough.{#Name=""Zero""}","1"
"Você é o único que pode sentir os Intoners, lembra?{#Name=""Zero""}","You're the only one who can sense Intoners, remember?{#Name=""Zero""}","1"
"Eu posso sentir, sim! Estou começando a me acostumar muito com essa sensação, também!{#Name=""Mikhail""}","I sure can! I'm starting to really get used to this feeling, too!{#Name=""Mikhail""}","1"
"É, eu aposto que isso se sente muito bem, também, né?{#Name=""Dito""}","Yeah, I bet it feels real good, too, huh?{#Name=""Dito""}","1"
"Oh, é! Isso me faz ter espasmos de deleite!{#Name=""Mikhail""}","Oh yeah! It makes me spasm with delight!{#Name=""Mikhail""}","1"
"...Pare de ensinar coisas a ele, Dito.{#Name=""Zero""}","...Stop teaching him things, Dito.{#Name=""Zero""}","1"
"Zero, eu durmo e eu durmo, e ainda estou tão cansado...{#Name=""Mikhail""}","Zero, I sleep and I sleep, and yet still I'm so tired...{#Name=""Mikhail""}","1"
"Tudo bem. Nós vamos.{#Name=""Zero""}","All right. We're off.{#Name=""Zero""}","1"
"Você vai entrar de cima, tudo bem?{#Name=""Zero""}","You go in from up high, all right?{#Name=""Zero""}","1"
"Lamento. Quem sabe eu pudesse voar como um bebê grande lá...","Laaame. Wish I could fly around like big baby there...{#Name=""Dito""}","1"
"Não, você não! Quanto mais alto você vai, mais frio fica!","No you don't! The higher you go, the colder it gets!{#Name=""Mikhail""}","1"
"Huh, justo. Acho que vamos ter que criar nosso próprio caminho no chão, hein, Z?","Huh, fair enough. Guess we'll just have to blaze{LF}our own trail on the ground, huh, Z?{#Name=""Dito""}","1"
"Desviado por informações falsas sobre o paradeiro de Quatro,","Diverted by false information regarding Four's whereabouts,{#Name=""Accord""}","1"
"Zero encontrou-se novamente na caçada.","Zero found herself on the hunt once more.{#Name=""Accord""}","1"
"Guiada pela presença Intoner fraca que detectaram,","Guided by the faint Intoner presence they detected,{#Name=""Accord""}","1"
"o grupo reduziu sua busca para uma cadeia de montanhas nevadas...","the group narrowed their search to a snowcapped range in the mountains...{#Name=""Accord""}","1"
